Date/Time,Unit,Value
30.11.23 03:54:00,C,0
30.11.23 04:54:00,C,0
30.11.23 05:54:00,C,0
30.11.23 06:54:00,C,0
30.11.23 07:54:00,C,0
30.11.23 08:54:00,C,0
30.11.23 09:54:00,C,1
30.11.23 10:54:00,C,1
30.11.23 11:54:00,C,2
30.11.23 12:54:00,C,3
30.11.23 13:54:00,C,4
30.11.23 14:54:00,C,3
30.11.23 15:54:00,C,3
30.11.23 16:54:00,C,2
30.11.23 17:54:00,C,1
30.11.23 18:54:00,C,1
30.11.23 19:54:00,C,1
30.11.23 20:54:00,C,1
30.11.23 21:54:00,C,1
30.11.23 22:54:00,C,1
30.11.23 23:54:00,C,1
01.12.23 00:54:00,C,1
01.12.23 01:54:00,C,1
01.12.23 02:54:00,C,1
01.12.23 03:54:00,C,1
01.12.23 04:54:00,C,1
01.12.23 05:54:00,C,1
01.12.23 06:54:00,C,2
01.12.23 07:54:00,C,2
01.12.23 08:54:00,C,2
01.12.23 09:54:00,C,2
01.12.23 10:54:00,C,2
01.12.23 11:54:00,C,3
01.12.23 12:54:00,C,3
01.12.23 13:54:00,C,3
01.12.23 14:54:00,C,2
01.12.23 15:54:00,C,2
01.12.23 16:54:00,C,2
01.12.23 17:54:00,C,2
01.12.23 18:54:00,C,1
01.12.23 19:54:00,C,1
01.12.23 20:54:00,C,1
01.12.23 21:54:00,C,1
01.12.23 22:54:00,C,1
01.12.23 23:54:00,C,1
02.12.23 00:54:00,C,1
02.12.23 01:54:00,C,1
02.12.23 02:54:00,C,1
02.12.23 03:54:00,C,1
02.12.23 04:54:00,C,0
02.12.23 05:54:00,C,0
02.12.23 06:54:00,C,0
02.12.23 07:54:00,C,0
02.12.23 08:54:00,C,0
02.12.23 09:54:00,C,0
02.12.23 10:54:00,C,1
02.12.23 11:54:00,C,1
02.12.23 12:54:00,C,1
02.12.23 13:54:00,C,1
02.12.23 14:54:00,C,1
02.12.23 15:54:00,C,0
02.12.23 16:54:00,C,0
02.12.23 17:54:00,C,0
02.12.23 18:54:00,C,0
02.12.23 19:54:00,C,0
02.12.23 20:54:00,C,0
02.12.23 21:54:00,C,0
02.12.23 22:54:00,C,0
02.12.23 23:54:00,C,0
03.12.23 00:54:00,C,0
03.12.23 01:54:00,C,0
03.12.23 02:54:00,C,0
03.12.23 03:54:00,C,0
03.12.23 04:54:00,C,0
03.12.23 05:54:00,C,0
03.12.23 06:54:00,C,0
03.12.23 07:54:00,C,-1
03.12.23 08:54:00,C,-1
03.12.23 09:54:00,C,-1
03.12.23 10:54:00,C,-1
03.12.23 11:54:00,C,-1
03.12.23 12:54:00,C,-1
03.12.23 13:54:00,C,-1
03.12.23 14:54:00,C,-1
03.12.23 15:54:00,C,-1
03.12.23 16:54:00,C,-2
03.12.23 17:54:00,C,-2
03.12.23 18:54:00,C,-2
03.12.23 19:54:00,C,-2
03.12.23 20:54:00,C,-2
03.12.23 21:54:00,C,-2
03.12.23 22:54:00,C,-3
03.12.23 23:54:00,C,-3
04.12.23 00:54:00,C,-3
04.12.23 01:54:00,C,-3
04.12.23 02:54:00,C,-3
04.12.23 03:54:00,C,-3
04.12.23 04:54:00,C,-3
04.12.23 05:54:00,C,-3
04.12.23 06:54:00,C,-2
04.12.23 07:54:00,C,-2
04.12.23 08:54:00,C,-2
04.12.23 09:54:00,C,-1
04.12.23 10:54:00,C,-1
04.12.23 11:54:00,C,-1
04.12.23 12:54:00,C,-1
04.12.23 13:54:00,C,0
04.12.23 14:54:00,C,0
04.12.23 15:54:00,C,0
04.12.23 16:54:00,C,0
04.12.23 17:54:00,C,0
04.12.23 18:54:00,C,0
04.12.23 19:54:00,C,0
04.12.23 20:54:00,C,0
04.12.23 21:54:00,C,0
04.12.23 22:54:00,C,0
04.12.23 23:54:00,C,0
05.12.23 00:54:00,C,0
05.12.23 01:54:00,C,0
05.12.23 02:54:00,C,0
05.12.23 03:54:00,C,0
05.12.23 04:54:00,C,0
05.12.23 05:54:00,C,0
05.12.23 06:54:00,C,0
05.12.23 07:54:00,C,0
05.12.23 08:54:00,C,0
05.12.23 09:54:00,C,0
05.12.23 10:54:00,C,0
05.12.23 11:54:00,C,0
05.12.23 12:54:00,C,0
05.12.23 13:54:00,C,0
05.12.23 14:54:00,C,0
05.12.23 15:54:00,C,0
05.12.23 16:54:00,C,0
05.12.23 17:54:00,C,0
05.12.23 18:54:00,C,0
05.12.23 19:54:00,C,0
05.12.23 20:54:00,C,0
05.12.23 21:54:00,C,0
05.12.23 22:54:00,C,0
05.12.23 23:54:00,C,0
06.12.23 00:54:00,C,1
06.12.23 01:54:00,C,1
06.12.23 02:54:00,C,2
06.12.23 03:54:00,C,2
06.12.23 04:54:00,C,2
06.12.23 05:54:00,C,2
06.12.23 06:54:00,C,2
06.12.23 07:54:00,C,2
06.12.23 08:54:00,C,2
06.12.23 09:54:00,C,3
06.12.23 10:54:00,C,3
06.12.23 11:54:00,C,4
06.12.23 12:54:00,C,4
06.12.23 13:54:00,C,4
06.12.23 14:54:00,C,4
06.12.23 15:54:00,C,4
06.12.23 16:54:00,C,3
06.12.23 17:54:00,C,3
06.12.23 18:54:00,C,2
06.12.23 19:54:00,C,2
06.12.23 20:54:00,C,2
06.12.23 21:54:00,C,1
06.12.23 22:54:00,C,1
06.12.23 23:54:00,C,0
07.12.23 00:54:00,C,0
07.12.23 01:54:00,C,0
07.12.23 02:54:00,C,1
07.12.23 03:54:00,C,1
07.12.23 04:54:00,C,1
07.12.23 05:54:00,C,1
07.12.23 06:54:00,C,1
07.12.23 07:54:00,C,1
07.12.23 08:54:00,C,1
07.12.23 09:54:00,C,2
07.12.23 10:54:00,C,2
07.12.23 11:54:00,C,4
07.12.23 12:54:00,C,3
07.12.23 13:54:00,C,2
07.12.23 14:54:00,C,2
07.12.23 15:54:00,C,1
07.12.23 16:54:00,C,0
07.12.23 17:54:00,C,0
07.12.23 18:54:00,C,0
07.12.23 19:54:00,C,0
07.12.23 20:54:00,C,0
07.12.23 21:54:00,C,0
07.12.23 22:54:00,C,0
07.12.23 23:54:00,C,0
08.12.23 00:54:00,C,0
08.12.23 01:54:00,C,1
08.12.23 02:54:00,C,1
08.12.23 03:54:00,C,1
08.12.23 04:54:00,C,1
08.12.23 05:54:00,C,1
08.12.23 06:54:00,C,1
08.12.23 07:54:00,C,1
08.12.23 08:54:00,C,1
08.12.23 09:54:00,C,2
08.12.23 10:54:00,C,2
08.12.23 11:54:00,C,3
08.12.23 12:54:00,C,4
08.12.23 13:54:00,C,4
08.12.23 14:54:00,C,4
08.12.23 15:54:00,C,4
08.12.23 16:54:00,C,4
08.12.23 17:54:00,C,4
08.12.23 18:54:00,C,4
08.12.23 19:54:00,C,3
08.12.23 20:54:00,C,4
